isWon,        total_diff,        break_pos1,        break_pos2,        break_pos3,        break_pos4,        win_in_set,        cur_diff,         ace,        utc_fore,        utc_back,        break_racial,        dis_total,        dis_lstgame,        dis_lst3pts,        dis_lstpt,        rallycnt
1,6,0,0,0,4,6,0,0,0,0,0.321429,808.86,111.349,66.705,19.474,5
0,5,0,0,0,4,6,1,0,0,0,0.321429,819.056,121.545,71.603,10.196,4
0,4,0,0,0,4,6,0,0,0,0,0.321429,829.854,132.343,40.468,10.798,4
0,3,0,0,0,4,6,-1,0,0,0,0.321429,852.27,154.759,43.41,22.416,6
0,2,0,0,0,0,6,0,0,0,0,0.310345,857.246,0.0,38.19,4.976,1
1,3,0,0,0,1,6,-1,0,1,0,0.310345,862.654,5.408,32.8,5.408,3
0,2,0,0,0,1,6,0,0,0,0,0.310345,890.243,32.997,37.973,27.589,8
1,3,0,0,0,1,6,-1,0,0,0,0.333333,901.673,44.427,44.427,11.43,2
0,2,0,0,0,1,6,0,0,0,0,0.322581,909.853,52.607,47.199,8.18,1
1,3,0,0,0,2,6,-1,0,0,0,0.322581,914.682,57.436,24.439,4.829,1
0,2,0,0,0,2,6,0,0,0,0,0.322581,922.222,64.976,20.549,7.54,2
0,1,0,0,0,2,6,-1,0,0,0,0.3125,971.675,114.429,61.822,49.453,9
0,0,0,0,0,2,6,-2,0,0,0,0.30303,995.735,138.489,81.053,24.06,5
1,1,0,0,0,3,6,-3,0,0,0,0.30303,1004.98,147.732,82.756,9.243,3
1,2,0,0,0,4,6,-2,0,1,0,0.30303,1021.3,164.052,49.623,16.32,5
0,1,0,0,0,4,6,-1,0,0,0,0.294118,1027.55,170.305,31.816,6.253,1
0,2,0,0,0,0,6,0,0,0,0,0.294118,1036.46,0.0,31.482,8.909,1
1,3,1,0,0,0,0,1,1,0,0,0.294118,1037.18,0.715,15.877,0.715,1
1,4,2,0,0,0,0,2,0,0,0,0.294118,1046.41,9.954,18.863,9.239,1
1,5,3,0,0,0,0,3,0,0,0,0.294118,1050.69,14.233,14.233,4.279,1
0,6,0,0,0,0,1,0,0,0,0,0.285714,1065.34,0.0,28.164,14.646,2
1,7,0,0,0,0,1,1,0,0,0,0.305556,1082.01,16.671,35.596,16.671,4
1,8,0,0,0,0,1,2,0,0,0,0.324324,1149.27,83.931,98.577,67.26,8
0,7,0,0,0,0,1,3,0,0,0,0.315789,1155.18,89.844,89.844,5.913,1
0,6,0,0,0,0,1,2,0,0,0,0.307692,1155.93,90.59,73.919,0.746,1
0,5,0,0,0,0,1,1,0,0,0,0.3,1157.09,91.751,7.82,1.161,1
0,4,0,0,0,0,1,0,0,0,0,0.292683,1166.85,101.512,11.668,9.761,3
0,3,0,0,0,0,1,-1,0,0,0,0.285714,1186.47,121.129,30.539,19.617,3
0,4,0,0,0,0,1,0,0,0,0,0.285714,1192.21,0.0,35.121,5.743,1
0,3,0,0,0,0,1,1,0,0,0,0.285714,1217.03,24.819,50.179,24.819,8
1,4,0,1,0,0,1,0,0,1,0,0.285714,1223.67,31.463,37.206,6.644,3
1,5,0,2,0,0,1,1,0,1,0,0.285714,1237.31,45.095,45.095,13.632,5
0,4,0,2,0,0,1,2,0,0,0,0.285714,1260.59,68.382,43.563,23.287,6
0,3,0,2,0,0,1,1,0,0,0,0.285714,1263.49,71.281,39.818,2.899,0
1,4,0,3,0,0,1,0,0,0,0,0.285714,1285.35,93.135,48.04,21.854,5
1,5,0,4,0,0,1,1,0,1,0,0.285714,1303.46,111.249,42.867,18.114,5
0,6,0,0,0,0,2,0,0,0,1,0.27907,1308.71,0.0,45.217,5.249,2
0,5,0,0,0,0,2,1,0,0,0,0.272727,1344.66,35.949,59.312,35.949,7
0,4,0,0,0,0,2,0,0,0,0,0.266667,1358.19,49.482,54.731,13.533,1
1,5,0,0,0,0,2,-1,0,0,0,0.282609,1362.44,53.734,53.734,4.252,0
0,4,0,0,0,0,2,0,0,0,0,0.276596,1372.69,63.984,28.035,10.25,1
0,3,0,0,0,0,2,-1,0,0,0,0.270833,1384.53,75.82,26.338,11.836,3
0,2,0,0,0,0,2,0,0,0,0,0.270833,1392.3,0.0,29.855,7.769,2
0,1,0,0,0,0,2,-1,0,0,0,0.270833,1395.17,2.871,22.476,2.871,0
1,2,0,0,1,0,2,-2,0,0,0,0.270833,1412.29,19.992,27.761,17.121,5
0,1,0,0,1,0,2,-1,0,0,0,0.270833,1423.3,31.001,31.001,11.009,4
1,2,0,0,2,0,2,-2,0,0,0,0.270833,1434.09,41.792,38.921,10.791,3
1,3,0,0,3,0,2,-1,1,0,0,0.270833,1435.03,42.736,22.744,0.944,1
0,2,0,0,3,0,2,0,0,0,0,0.270833,1458.98,66.68,35.679,23.944,6
1,3,0,0,4,0,2,-1,0,0,0,0.270833,1466.25,73.955,32.163,7.275,3
1,4,0,0,5,0,2,0,0,0,0,0.270833,1487.58,95.286,52.55,21.331,7
1,5,0,0,6,0,2,1,0,0,0,0.270833,1509.16,116.862,50.182,21.576,7
0,6,0,0,0,0,3,0,0,0,1,0.265306,1542.56,0.0,76.309,33.402,8
0,5,0,0,0,0,3,1,0,0,0,0.26,1559.1,16.534,71.512,16.534,3
0,4,0,0,0,0,3,0,0,0,0,0.254902,1559.6,17.041,50.443,0.507,1
0,3,0,0,0,0,3,-1,0,0,0,0.25,1600.74,58.178,58.178,41.137,3
0,2,0,0,0,0,3,-2,0,0,0,0.245283,1607.77,65.211,48.677,7.033,1
0,3,0,0,0,0,3,0,1,0,0,0.245283,1608.67,0.0,49.062,0.892,1
1,4,0,0,0,1,3,1,0,0,0,0.245283,1625.71,17.047,24.972,17.047,5
0,3,0,0,0,1,3,2,0,0,0,0.245283,1637.27,28.605,29.497,11.558,4
1,4,0,0,0,2,3,1,0,0,0,0.245283,1646.28,37.613,37.613,9.008,3
0,3,0,0,0,2,3,2,0,0,0,0.245283,1652.0,43.33,26.283,5.717,2
1,4,0,0,0,3,3,1,0,1,0,0.245283,1663.96,55.291,26.686,11.961,5
0,3,0,0,0,0,4,0,0,0,0,0.240741,1667.51,0.0,21.227,3.549,1
1,4,0,0,0,0,4,-1,0,1,0,0.254545,1683.16,15.656,31.166,15.656,4
0,3,0,0,0,0,4,0,0,0,0,0.25,1696.95,29.447,32.996,13.791,3
0,2,0,0,0,0,4,-1,0,0,0,0.245614,1717.03,49.521,49.521,20.074,3
0,1,0,0,0,0,4,-2,0,0,0,0.241379,1718.79,51.283,35.627,1.762,1
0,2,0,0,0,0,4,0,0,0,0,0.241379,1721.14,0.0,24.188,2.352,1
1,3,0,0,0,1,4,1,0,0,0,0.241379,1732.28,11.142,15.256,11.142,3
0,2,0,0,0,1,4,2,0,0,0,0.241379,1743.03,21.89,24.242,10.748,4
1,3,0,0,0,2,4,1,0,0,0,0.241379,1747.52,26.379,26.379,4.489,1
0,2,0,0,0,2,4,2,0,0,0,0.241379,1755.14,34.002,22.86,7.623,2
1,3,0,0,0,3,4,1,1,0,0,0.241379,1756.51,35.366,13.476,1.364,1
0,4,0,0,0,0,5,0,0,1,0,0.237288,1799.05,0.0,51.531,42.544,6
0,3,0,0,0,0,5,1,0,0,0,0.233333,1819.9,20.85,64.758,20.85,3
1,4,0,0,0,0,5,0,0,1,0,0.245902,1846.48,47.433,89.977,26.583,6
1,5,0,0,0,0,5,1,0,1,0,0.258065,1859.86,60.81,60.81,13.377,4
1,6,0,0,0,0,5,2,0,0,0,0.269841,1878.86,79.814,58.964,19.004,2
0,7,0,0,0,0,6,0,0,0,0,0.269841,1878.86,0.0,32.381,0.0,1
0,6,0,0,0,0,0,1,0,0,0,0.269841,1886.25,7.387,26.391,7.387,2
1,7,1,0,0,0,0,0,0,0,0,0.269841,1890.36,11.497,11.497,4.11,1
0,6,1,0,0,0,0,1,0,0,0,0.269841,1921.71,42.85,42.85,31.353,10
1,7,2,0,0,0,0,0,0,0,0,0.269841,1925.66,46.796,39.409,3.946,1
0,6,2,0,0,0,0,1,0,0,0,0.269841,1931.27,52.409,40.912,5.613,2
1,7,3,0,0,0,0,0,0,1,0,0.269841,1941.56,62.7,19.85,10.291,3
1,8,4,0,0,0,0,1,0,0,0,0.269841,1956.78,77.916,31.12,15.216,5
0,9,0,0,0,0,1,0,0,0,1,0.265625,1963.11,0.0,31.832,6.325,2
1,10,0,0,0,0,1,1,0,0,0,0.276923,1969.99,6.883,28.424,6.883,2
1,11,0,0,0,0,1,2,0,0,0,0.287879,1981.42,18.312,24.637,11.429,2
1,12,0,0,0,0,1,3,0,0,0,0.298507,1990.71,27.608,27.608,9.296,2
0,13,0,0,0,0,2,0,0,0,0,0.298507,1993.68,0.0,23.695,2.97,1
1,14,0,1,0,0,2,1,0,0,0,0.298507,2037.1,43.416,55.682,43.416,11
0,13,0,1,0,0,2,2,0,0,0,0.298507,2047.64,53.959,56.929,10.543,2
0,12,0,1,0,0,2,1,0,0,0,0.298507,2054.11,60.425,60.425,6.466,2
1,13,0,2,0,0,2,0,0,0,0,0.298507,2063.87,70.186,26.77,9.761,3
0,12,0,2,0,0,2,1,0,0,0,0.298507,2074.2,80.514,26.555,10.328,4
1,13,0,3,0,0,2,0,0,0,0,0.298507,2078.62,84.94,24.515,4.426,1
1,14,0,4,0,0,2,1,0,0,0,0.298507,2082.28,88.598,18.412,3.658,1
0,15,0,0,0,0,3,0,0,0,0,0.294118,2108.57,0.0,34.368,26.284,8
1,16,0,0,0,0,3,1,0,0,0,0.304348,2120.28,11.711,41.653,11.711,4
0,15,0,0,0,0,3,2,0,0,0,0.3,2137.54,28.974,55.258,17.263,3
0,14,0,0,0,0,3,1,0,0,0,0.295775,2148.45,39.885,39.885,10.911,1
0,13,0,0,0,0,3,0,0,0,0,0.291667,2171.42,62.852,51.141,22.967,5
1,14,0,0,0,0,3,-1,0,0,0,0.30137,2175.99,67.424,38.45,4.572,0
0,13,0,0,0,0,3,0,0,0,0,0.297297,2190.14,81.573,41.688,14.149,3
0,12,0,0,0,0,3,-1,0,0,0,0.293333,2226.42,117.856,55.004,36.283,11
0,11,0,0,0,0,3,0,0,0,0,0.293333,2254.07,0.0,78.081,27.649,6
0,10,0,0,0,0,3,-1,0,0,0,0.293333,2260.66,6.588,70.52,6.588,2
1,11,0,0,1,0,3,-2,1,0,0,0.293333,2261.35,7.283,34.932,0.695,1
0,10,0,0,1,0,3,-1,0,0,0,0.293333,2279.07,25.002,25.002,17.719,6
1,11,0,0,2,0,3,-2,0,1,0,0.293333,2286.2,32.131,25.543,7.129,3
1,12,0,0,3,0,3,-1,0,0,0,0.293333,2306.64,52.566,45.283,20.435,5
1,13,0,0,4,0,3,0,0,1,0,0.293333,2315.75,61.676,36.674,9.11,3
1,14,0,0,5,0,3,1,1,0,0,0.293333,2316.62,62.551,30.42,0.875,1
0,15,0,0,0,0,4,0,0,0,0,0.289474,2326.23,0.0,19.595,9.61,2
1,16,0,0,0,0,4,1,0,0,1,0.298701,2354.4,28.166,38.651,28.166,6
0,15,0,0,0,0,4,2,0,0,0,0.294872,2373.69,47.462,57.072,19.296,5
1,16,0,0,0,0,4,1,0,0,0,0.303797,2384.69,58.454,58.454,10.992,4
0,15,0,0,0,0,4,2,0,0,0,0.3,2413.25,87.017,58.851,28.563,5
1,16,0,0,0,0,4,1,0,0,1,0.308642,2447.08,120.846,73.384,33.829,8
0,17,0,0,0,0,5,0,0,0,0,0.308642,2449.95,0.0,65.269,2.877,1
0,16,0,0,0,0,5,1,0,0,0,0.308642,2451.82,1.861,38.567,1.861,0
1,17,0,0,0,1,5,0,0,0,1,0.308642,2469.46,19.506,22.383,17.645,5
0,16,0,0,0,1,5,1,0,0,0,0.308642,2478.3,28.341,28.341,8.835,2
1,17,0,0,0,2,5,0,0,0,0,0.308642,2481.48,31.521,29.66,3.18,1
1,18,0,0,0,3,5,1,0,0,0,0.308642,2497.0,47.049,27.543,15.528,5
0,1,0,0,0,0,0,0,0,0,0,0.308642,2502.37,0.0,24.07,5.362,1
0,0,0,0,0,0,0,1,0,0,0,0.308642,2511.42,9.056,29.946,9.056,2
0,-1,0,0,0,0,0,0,0,0,0,0.308642,2528.0,25.633,30.995,16.577,4
0,-2,0,0,0,0,0,-1,0,0,0,0.308642,2535.53,33.169,33.169,7.536,2
1,-1,1,0,0,0,0,-2,0,0,0,0.308642,2537.89,35.525,26.469,2.356,1
1,0,2,0,0,0,0,-1,0,0,1,0.308642,2546.06,43.695,18.062,8.17,3
0,-1,2,0,0,0,0,0,0,0,0,0.308642,2555.49,53.129,19.96,9.434,2
1,0,3,0,0,0,0,-1,0,0,0,0.308642,2605.35,102.984,67.459,49.855,11
1,1,4,0,0,0,0,0,0,0,0,0.308642,2618.76,116.396,72.701,13.412,3
0,0,4,0,0,0,0,1,0,0,0,0.308642,2648.48,146.113,92.984,29.717,6
0,-1,4,0,0,0,0,0,0,0,0,0.308642,2651.35,148.989,46.005,2.876,0
0,-2,4,0,0,0,0,-1,0,0,0,0.308642,2669.87,167.501,51.105,18.512,4
0,-1,0,0,0,0,0,0,0,0,0,0.304878,2682.95,0.0,34.472,13.084,2
0,-2,0,0,0,0,0,1,0,0,0,0.301205,2710.43,27.482,59.078,27.482,5
0,-3,0,0,0,0,0,0,0,0,0,0.297619,2723.47,40.521,53.605,13.039,3
0,-4,0,0,0,0,0,-1,0,0,0,0.294118,2731.75,48.797,48.797,8.276,1
1,-3,0,0,0,0,0,-2,0,1,0,0.302326,2736.34,53.392,25.91,4.595,2
0,-4,0,0,0,0,0,-1,0,0,0,0.298851,2741.22,58.268,17.747,4.876,1
0,-3,0,0,0,0,0,0,1,0,0,0.298851,2742.54,0.0,10.79,1.319,1
1,-2,0,1,0,0,0,1,0,0,0,0.298851,2749.21,6.675,12.87,6.675,1
0,-3,0,1,0,0,0,2,0,0,0,0.298851,2756.08,13.54,14.859,6.865,0
1,-2,0,2,0,0,0,1,0,0,0,0.298851,2769.69,27.15,27.15,13.61,5
0,-3,0,2,0,0,0,2,0,0,0,0.298851,2774.61,32.072,25.397,4.922,2
1,-2,0,3,0,0,0,1,0,0,0,0.298851,2780.41,37.876,24.336,5.804,1
0,-3,0,0,0,0,1,0,0,0,0,0.295455,2792.74,0.0,23.053,12.327,3
1,-2,0,0,0,0,1,-1,0,0,0,0.303371,2811.52,18.782,36.913,18.782,4
0,-3,0,0,0,0,1,0,0,0,0,0.3,2823.65,30.906,43.233,12.124,3
0,-4,0,0,0,0,1,-1,0,0,0,0.296703,2831.68,38.935,38.935,8.029,1
0,-5,0,0,0,0,1,-2,0,0,0,0.293478,2848.02,55.282,36.5,16.347,5
0,-4,0,0,0,0,1,0,0,0,0,0.293478,2853.33,0.0,29.686,5.31,1
0,-5,0,0,0,0,1,1,0,0,0,0.293478,2857.65,4.321,25.978,4.321,2
0,-6,0,0,0,0,1,0,0,0,0,0.293478,2874.77,21.44,26.75,17.119,4
0,-7,0,0,0,0,1,-1,0,0,0,0.293478,2890.88,37.548,37.548,16.108,4
1,-6,0,0,1,0,1,-2,0,0,0,0.293478,2894.4,41.063,36.742,3.515,1
0,-7,0,0,1,0,1,-1,0,0,0,0.293478,2908.86,55.528,34.088,14.465,2
0,-6,0,0,0,0,1,0,0,0,0,0.290323,2915.22,0.0,24.336,6.356,0
0,-7,0,0,0,0,1,1,0,0,0,0.287234,2926.76,11.545,32.366,11.545,3
0,-8,0,0,0,0,1,0,0,0,0,0.284211,2927.75,12.538,18.894,0.993,1
0,-9,0,0,0,0,1,-1,0,0,0,0.28125,2936.98,21.768,21.768,9.23,3
1,-8,0,0,0,0,1,-2,0,0,0,0.28866,2945.45,30.232,18.687,8.464,2
0,-9,0,0,0,0,1,-1,0,0,0,0.285714,2971.29,56.072,43.534,25.84,3
0,-8,0,0,0,0,1,0,0,0,0,0.285714,2975.31,0.0,38.321,4.017,1
1,-7,0,0,0,1,1,1,0,0,0,0.285714,2980.73,5.42,35.277,5.42,1
1,-6,0,0,0,2,1,2,0,0,0,0.285714,2985.04,9.739,13.756,4.319,1
0,-7,0,0,0,2,1,3,0,0,0,0.285714,2993.34,18.036,18.036,8.297,2
1,-6,0,0,0,3,1,2,1,0,0,0.285714,2994.17,18.864,13.444,0.828,1
0,-7,0,0,0,0,2,0,0,0,0,0.282828,3031.31,0.0,46.263,37.138,7
0,-8,0,0,0,0,2,-1,0,0,0,0.28,3036.6,5.295,43.261,5.295,1
1,-7,0,0,0,0,2,-2,0,0,0,0.287129,3048.36,17.049,54.187,11.754,2
1,-6,0,0,0,0,2,-1,0,0,0,0.294118,3069.64,38.333,38.333,21.284,2
1,-5,0,0,0,0,2,0,0,0,0,0.300971,3081.59,50.28,44.985,11.947,2
0,-6,0,0,0,0,2,1,0,0,0,0.298077,3094.66,63.356,46.307,13.076,3
0,-7,0,0,0,0,2,0,0,0,0,0.295238,3102.4,71.097,32.764,7.741,1
1,-6,0,0,0,0,2,-1,0,0,1,0.301887,3112.04,80.732,30.452,9.635,2
0,-7,0,0,0,0,2,0,0,0,0,0.299065,3126.43,95.12,31.764,14.388,5
1,-6,0,0,0,0,2,-1,0,0,1,0.305556,3141.29,109.981,38.884,14.861,4
0,-7,0,0,0,0,2,0,0,0,0,0.302752,3169.29,137.983,57.251,28.002,7
0,-8,0,0,0,0,2,-1,0,0,0,0.3,3174.09,142.778,47.658,4.795,1
0,-9,0,0,0,0,2,0,0,0,0,0.3,3183.05,0.0,41.765,8.968,2
1,-8,1,0,0,0,0,-1,0,1,0,0.3,3206.46,23.409,37.172,23.409,5
1,-7,2,0,0,0,0,0,0,0,0,0.3,3210.7,27.648,36.616,4.239,1
0,-8,2,0,0,0,0,1,0,0,0,0.3,3236.96,53.91,53.91,26.262,8
1,-7,3,0,0,0,0,0,0,0,1,0.3,3245.75,62.692,39.283,8.782,3
1,-6,4,0,0,0,0,1,0,0,1,0.3,3257.53,74.478,46.83,11.786,3
0,-7,0,0,0,0,1,0,0,0,0,0.297297,3265.64,0.0,28.676,8.108,3
1,-6,0,0,0,0,1,-1,0,0,0,0.303571,3275.05,9.411,29.305,9.411,2
0,-7,0,0,0,0,1,0,0,0,0,0.300885,3278.85,13.21,21.318,3.799,1
0,-8,0,0,0,0,1,-1,0,0,0,0.298246,3299.23,33.595,33.595,20.385,5
0,-9,0,0,0,0,1,-2,0,0,0,0.295652,3315.38,49.738,40.327,16.143,5
0,-10,0,0,0,0,1,0,0,0,0,0.295652,3335.12,0.0,56.273,19.745,4
1,-9,0,1,0,0,1,-1,0,1,0,0.295652,3342.95,7.826,43.714,7.826,3
1,-8,0,2,0,0,1,0,1,0,0,0.295652,3344.22,9.097,28.842,1.271,1
0,-9,0,2,0,0,1,1,0,0,0,0.295652,3348.91,13.79,13.79,4.693,2
1,-8,0,3,0,0,1,0,0,0,0,0.295652,3362.62,27.502,19.676,13.712,3
0,-9,0,3,0,0,1,1,0,0,0,0.295652,3370.17,35.05,25.953,7.548,2
1,-8,0,4,0,0,1,0,0,0,0,0.295652,3376.37,41.245,27.455,6.195,1
0,-9,0,4,0,0,1,1,0,0,0,0.295652,3391.05,55.932,28.43,14.687,4
1,-8,0,5,0,0,1,0,0,0,0,0.295652,3394.62,59.499,24.449,3.567,1
0,-9,0,5,0,0,1,1,0,0,0,0.295652,3395.78,60.661,19.416,1.162,2
1,-8,0,6,0,0,1,0,0,1,0,0.295652,3412.68,77.56,21.628,16.899,5
1,-7,0,7,0,0,1,1,0,0,0,0.295652,3425.73,90.603,31.104,13.043,3
0,-8,0,0,0,0,2,0,0,0,0,0.293103,3429.83,0.0,34.049,4.107,1
0,-9,0,0,0,0,2,-1,0,0,0,0.290598,3451.16,21.324,38.474,21.324,5
0,-10,0,0,0,0,2,-2,0,0,0,0.288136,3456.13,26.294,30.401,4.97,1
1,-9,0,0,0,0,2,-3,0,0,0,0.294118,3459.6,29.763,29.763,3.469,0
0,-10,0,0,0,0,2,-2,0,0,0,0.291667,3470.74,40.906,19.582,11.143,1
0,-9,0,0,0,0,2,0,0,0,0,0.291667,3483.23,0.0,27.099,12.487,3
1,-8,0,0,1,0,2,1,0,0,0,0.291667,3485.79,2.565,26.195,2.565,1
1,-7,0,0,2,0,2,2,1,0,0,0.291667,3492.28,9.055,21.542,6.49,1
0,-8,0,0,2,0,2,3,0,0,0,0.291667,3502.0,18.778,18.778,9.723,2
0,-9,0,0,2,0,2,2,0,0,0,0.291667,3511.31,28.087,25.522,9.309,2
0,-10,0,0,2,0,2,1,0,0,0,0.291667,3525.51,42.283,33.228,14.196,4
1,-9,0,0,3,0,2,0,0,0,0,0.291667,3530.72,47.499,28.721,5.216,1
1,-8,0,0,4,0,2,1,0,0,1,0.291667,3538.77,55.542,27.455,8.043,3
0,-9,0,0,0,0,3,0,0,0,0,0.289256,3550.95,0.0,25.445,12.186,3
0,-10,0,0,0,0,3,-1,0,0,0,0.286885,3566.05,15.097,35.326,15.097,3
1,-9,0,0,0,0,3,-2,0,0,0,0.292683,3581.39,30.439,42.625,15.342,4
1,-8,0,0,0,0,3,-1,0,0,0,0.298387,3634.59,83.634,83.634,53.195,16
0,-9,0,0,0,0,3,0,0,0,0,0.296,3641.97,91.014,75.917,7.38,1
1,-8,0,0,0,0,3,-1,0,0,1,0.301587,3645.97,95.017,64.578,4.003,2
1,-7,0,0,0,0,3,0,0,1,0,0.307087,3649.89,98.932,15.298,3.915,2
0,-8,0,0,0,0,3,1,0,0,0,0.304688,3663.83,112.88,21.866,13.948,3
1,-7,0,0,0,0,3,0,0,0,0,0.310078,3688.52,137.569,42.552,24.689,6
0,-8,0,0,0,0,3,1,0,0,0,0.307692,3693.14,142.185,43.253,4.616,1
1,-7,0,0,0,0,3,0,0,0,0,0.312977,3701.85,150.897,38.017,8.712,2
1,-6,0,0,0,0,3,1,0,0,0,0.318182,3719.56,168.607,31.038,17.71,2
0,-5,0,0,0,0,4,0,0,1,0,0.318182,3727.01,0.0,33.868,7.446,3
1,-4,0,0,0,1,4,1,0,0,0,0.318182,3733.97,6.968,32.124,6.968,1
1,-3,0,0,0,2,4,2,0,0,1,0.318182,3751.38,24.374,31.82,17.406,5
0,-4,0,0,0,2,4,3,0,0,0,0.318182,3757.1,30.096,30.096,5.722,2
0,-5,0,0,0,2,4,2,0,0,0,0.318182,3761.8,34.789,27.821,4.693,2
0,-6,0,0,0,2,4,1,0,0,0,0.318182,3789.05,62.043,37.669,27.254,6
0,-7,0,0,0,2,4,0,0,0,0,0.318182,3802.95,75.943,45.847,13.9,4
0,-8,0,0,0,2,4,-1,0,0,0,0.318182,3822.87,95.859,61.07,19.916,6
